Model,Augmentations_used,Trial,mse_Dipole_moment,mae_Dipole_moment,r2_Dipole_moment,mse_Isotropic_polarizability,mae_Isotropic_polarizability,r2_Isotropic_polarizability,mse_Highest_occupied_molecular_orbital_energy,mae_Highest_occupied_molecular_orbital_energy,r2_Highest_occupied_molecular_orbital_energy,mse_Lowest_unoccupied_molecular_orbital_energy,mae_Lowest_unoccupied_molecular_orbital_energy,r2_Lowest_unoccupied_molecular_orbital_energy,mse_Gap_between_previous_2,mae_Gap_between_previous_2,r2_Gap_between_previous_2,mse_Electronic_spatial_extent,mae_Electronic_spatial_extent,r2_Electronic_spatial_extent,mse_Zero_point_vibrational_energy,mae_Zero_point_vibrational_energy,r2_Zero_point_vibrational_energy,mse_Internal_energy_at_0K,mae_Internal_energy_at_0K,r2_Internal_energy_at_0K,mse_Internal_energy_at_298.15K,mae_Internal_energy_at_298.15K,r2_Internal_energy_at_298.15K,mse_Enthalpy_at_298.15K,mae_Enthalpy_at_298.15K,r2_Enthalpy_at_298.15K,mse_Free_energy_at_298.15K,mae_Free_energy_at_298.15K,r2_Free_energy_at_298.15K,mse_Heat_capacity_at_298.15K,mae_Heat_capacity_at_298.15K,r2_Heat_capacity_at_298.15K,mse_Atomization_energy_at_0K,mae_Atomization_energy_at_0K,r2_Atomization_energy_at_0K,mse_Atomization_energy_at_298.15K,mae_Atomization_energy_at_298.15K,r2_Atomization_energy_at_298.15K,mse_Atomization_enthalpy_at_298.15K,mae_Atomization_enthalpy_at_298.15K,r2_Atomization_enthalpy_at_298.15K,mse_Atomization_free_energy_at_298.15K,mae_Atomization_free_energy_at_298.15K,r2_Atomization_free_energy_at_298.15K,mse_Rotational_constant_A,mae_Rotational_constant_A,r2_Rotational_constant_A,mse_Rotational_constant_B,mae_Rotational_constant_B,r2_Rotational_constant_B,mse_Rotational_constant_C,mae_Rotational_constant_C,r2_Rotational_constant_C
GCL_VicReg,2,1,18819.887,110.02113,0.00011524216,841012.25,735.53424,-0.0058483034,1282.0894,28.695385,0.0032814583,24956.66,126.680534,-0.00016862765,37521.0,155.30919,0.00055156916,8414737400.0,73555.734,-0.0020211865,43.474808,5.302773,-0.06317228,8330588000.0,73181.875,-0.0015657402,8327489000.0,73168.32,-0.0015672436,8327374000.0,73167.7,-0.0015658048,8335456000.0,73203.305,-0.0015666864,2347001.8,1228.4355,-0.0022462807,136145.4,295.91617,0.012077854,148839.9,309.40784,0.011627537,147844.7,308.3714,0.011744062,128047.11,286.98117,0.011557367,435343.84,529.17316,-0.0020781336,206079.83,363.95044,-0.0016954527,112771.66,269.20792,-0.0015128122
GCL_VicReg,2,2,1.9700114,1.1050423,-2.081166,198.7574,11.146318,-0.67616767,0.531139,0.5422985,-7.8606515,1.4262146,0.9642501,-0.3357815,1.3241675,0.94563794,-0.7552093,140006.39,306.60904,-6.11875,0.8446899,0.7093963,0.25826347,5280786.0,1738.1118,-0.60291904,5281262.5,1738.1766,-0.6027324,5290736.5,1739.5042,-0.6000864,5282180.5,1738.3085,-0.60262555,27.714489,3.9948804,-2.2093027,186.08664,10.537401,-0.15797547,188.98186,10.619426,-0.15275575,191.49864,10.689355,-0.14993301,158.97948,9.746215,-0.16189642,10.936463,1.7926464,-61.056908,3.9544435,0.7563506,-19.680752,3.4997923,0.57166004,-23.185162
GCL_VicReg,2,3,1.6938434,1.0506442,-4.0947447,150.41927,9.976931,-6.107761,0.48335925,0.52179086,-12.889651,1.2236041,0.9167281,-1.3923651,1.2618241,0.9257336,-1.511061,105671.85,275.721,-17.259565,0.57582116,0.6038379,-0.1438231,3026044.0,1393.9479,-8.454454,3025754.8,1393.8834,-8.465636,3025825.2,1393.8994,-8.461721,3026067.5,1393.9489,-8.4613495,25.378649,3.8951805,-3.9461606,143.92867,9.558389,-1.3628778,145.92966,9.625975,-1.3499686,147.70647,9.684291,-1.344802,122.89476,8.829316,-1.3863423,10.955659,1.7690754,-211.89998,3.5711846,0.6146468,-451.19983,3.2423978,0.45122126,-1181.6355
GCL_VicReg,2,4,1.7224531,1.0785213,-6.45551,148.74467,9.968167,-6.3378243,0.48056945,0.5231769,-15.896966,1.3342665,0.9663233,-2.1432083,1.3738987,0.97431886,-2.3841147,107577.195,279.05008,-20.602932,0.629495,0.64266354,-0.35175776,3144173.8,1408.3268,-8.64789,3144386.2,1408.3701,-8.632544,3144182.5,1408.3286,-8.642718,3144601.8,1408.4135,-8.6341505,26.145414,4.0068197,-3.8084416,147.90854,9.847955,-1.6293772,150.0048,9.920006,-1.6191776,151.85815,9.981327,-1.6128726,126.14048,9.089272,-1.6502851,10.916146,1.7814882,-173.20842,3.6164207,0.6294254,-352.95236,3.2615936,0.45684543,-758.6131
GCL_VicReg,2,5,1.7512321,1.089915,-4.965811,153.47098,9.8645,-3.3038588,0.5558102,0.55058795,-27.827272,1.3480141,0.96328425,-2.9401839,1.3681389,0.95674866,-3.1974633,108167.11,276.167,-10.431961,0.6413751,0.6176885,-0.29672864,3210596.5,1433.7303,-5.4223313,3208610.5,1433.4557,-5.4610934,3209908.2,1433.6313,-5.434316,3208920.8,1433.5139,-5.460467,26.463202,3.9060185,-2.9634094,151.63019,9.547823,-1.2258959,153.75763,9.6164875,-1.2228489,155.67238,9.675809,-1.216329,129.32552,8.810573,-1.2254167,11.046472,1.8054845,-175.61128,3.6545277,0.6550455,-127.05576,3.2736502,0.48012167,-174.65439
GCL_VicReg,2,6,1.7645571,1.0762252,-4.268165,147.90807,9.903941,-4.8630934,0.5085298,0.51883024,-25.573708,1.3228565,0.95878655,-1.8911891,1.2773342,0.92955405,-1.6111856,107625.21,277.21396,-28.360994,0.5861171,0.59906954,-0.09678224,3125231.2,1421.3678,-7.7696533,3124942.8,1421.283,-7.787966,3125007.8,1421.305,-7.781685,3125265.5,1421.3589,-7.780789,27.202412,3.987578,-4.4411902,143.14923,9.431868,-1.1253031,145.13821,9.498618,-1.1154091,146.91794,9.555918,-1.1104317,122.1234,8.711073,-1.1400013,10.898004,1.7687707,-117.625114,3.570362,0.6177383,-683.9425,3.2401526,0.45337102,-2619.504
GCL_VicReg,2,7,23293.166,113.44666,0.002222029,9967683.0,2514.7297,0.0005525378,204816.14,336.64258,-0.0002716397,358038.0,444.7048,0.00017986701,1093152.8,778.1629,-4.4567998e-05,3651423500.0,46751.75,-0.00023789107,74191.0,205.372,0.00022728079,107907360000.0,253561.0,-0.0004841698,107912780000.0,253568.73,-0.000483623,107912570000.0,253568.0,-0.00048425558,107898330000.0,253550.1,-0.00048419845,3960865.8,1522.6659,-0.000250511,7203210.0,2036.9808,0.00029916075,7334575.5,2055.06,0.00030194348,7471848.5,2074.1155,0.00030002012,5744401.0,1820.5192,0.0003168787,447283.78,511.0175,0.0013220726,94712.445,242.95088,8.767972e-05,63343.402,194.6441,0.0003777248
GCL_VicReg,2,8,1.6793903,1.0592263,-4.7552915,149.18884,9.884044,-4.9861126,0.52143145,0.53567433,-12.770927,1.3097949,0.95265573,-1.9766037,1.2911935,0.9343783,-1.8599443,108977.3,277.37558,-13.646931,0.61569875,0.6187869,-0.29723403,3042881.5,1411.1229,-7.6115046,3042230.5,1411.0233,-7.6141157,3042482.0,1411.0605,-7.6127734,3042673.2,1411.1,-7.6140437,26.985014,4.0086284,-4.5009103,147.67665,9.519096,-1.3970553,149.74165,9.58679,-1.3860279,151.58916,9.645381,-1.3815297,125.91966,8.787045,-1.4056902,11.003948,1.7809567,-204.10066,3.5747023,0.6182435,-547.1986,3.2350256,0.45347703,-1083.9523
GCL_VicReg,2,9,1.770547,1.074847,-7.3441076,155.4207,10.054129,-5.7485666,0.5075994,0.526314,-37.929096,1.3576543,0.9721454,-2.0940619,1.3491174,0.95714194,-2.149577,116406.09,277.33417,-3.9200902,0.74644274,0.6804702,-0.07975043,3131530.5,1402.7194,-12.350227,3131467.2,1402.7081,-12.346359,3131783.2,1402.7872,-12.3006935,3132199.2,1402.8771,-12.275685,30.148527,4.2547503,-2.2744884,161.96625,9.976929,-0.9144928,164.2746,10.04883,-0.90726715,166.33327,10.111481,-0.90357393,138.0315,9.2071295,-0.9287658,10.922217,1.7799501,-160.79381,3.5477104,0.615719,-159.80368,3.2238154,0.45242533,-259.93216
GCL_VicReg,2,10,1.7788948,1.0894288,-6.7002363,155.88045,10.12529,-7.2647862,0.48983896,0.52607405,-24.576174,1.3612618,0.96691346,-1.8081878,1.4154813,0.9639749,-1.9312379,109966.9,280.58093,-10.744293,0.6716413,0.65453213,-0.53371114,3110946.2,1420.5193,-11.305091,3110840.2,1420.4783,-11.275188,3110842.5,1420.4852,-11.285017,3111072.2,1420.534,-11.28947,26.744072,4.0069604,-4.3423233,155.05467,9.918993,-1.9692129,157.26306,9.990504,-1.9548134,159.202,10.051557,-1.9479285,132.3485,9.161711,-2.0019357,10.918716,1.7701582,-165.55322,3.5914493,0.6422208,-94.68554,3.247333,0.4673557,-263.1659
GCL_VicReg,24,1,1.7179381,1.0749114,-5.3897696,153.8451,10.06561,-6.5584903,0.51897436,0.5331013,-46.87457,1.3245611,0.95028126,-1.8516291,1.3890179,0.9842367,-2.3971577,108672.61,278.71957,-14.321465,0.6181367,0.6162969,-0.25325546,3118608.0,1409.656,-9.067686,3118545.8,1409.6349,-9.065231,3118531.8,1409.6382,-9.066638,3118763.8,1409.6831,-9.067269,26.73137,3.9329932,-4.1474376,150.82024,9.71118,-1.7095494,152.92949,9.779735,-1.6953014,154.80666,9.838834,-1.6881304,128.7582,8.974284,-1.7438176,10.9408655,1.7722028,-288.41138,3.6096435,0.6148719,-405.23767,3.2607925,0.44988698,-1251.9207
