Model,Augmentations_used,Trial,mse_Dipole_moment,mae_Dipole_moment,r2_Dipole_moment,mse_Isotropic_polarizability,mae_Isotropic_polarizability,r2_Isotropic_polarizability,mse_Highest_occupied_molecular_orbital_energy,mae_Highest_occupied_molecular_orbital_energy,r2_Highest_occupied_molecular_orbital_energy,mse_Lowest_unoccupied_molecular_orbital_energy,mae_Lowest_unoccupied_molecular_orbital_energy,r2_Lowest_unoccupied_molecular_orbital_energy,mse_Gap_between_previous_2,mae_Gap_between_previous_2,r2_Gap_between_previous_2,mse_Electronic_spatial_extent,mae_Electronic_spatial_extent,r2_Electronic_spatial_extent,mse_Zero_point_vibrational_energy,mae_Zero_point_vibrational_energy,r2_Zero_point_vibrational_energy,mse_Internal_energy_at_0K,mae_Internal_energy_at_0K,r2_Internal_energy_at_0K,mse_Internal_energy_at_298.15K,mae_Internal_energy_at_298.15K,r2_Internal_energy_at_298.15K,mse_Enthalpy_at_298.15K,mae_Enthalpy_at_298.15K,r2_Enthalpy_at_298.15K,mse_Free_energy_at_298.15K,mae_Free_energy_at_298.15K,r2_Free_energy_at_298.15K,mse_Heat_capacity_at_298.15K,mae_Heat_capacity_at_298.15K,r2_Heat_capacity_at_298.15K,mse_Atomization_energy_at_0K,mae_Atomization_energy_at_0K,r2_Atomization_energy_at_0K,mse_Atomization_energy_at_298.15K,mae_Atomization_energy_at_298.15K,r2_Atomization_energy_at_298.15K,mse_Atomization_enthalpy_at_298.15K,mae_Atomization_enthalpy_at_298.15K,r2_Atomization_enthalpy_at_298.15K,mse_Atomization_free_energy_at_298.15K,mae_Atomization_free_energy_at_298.15K,r2_Atomization_free_energy_at_298.15K,mse_Rotational_constant_A,mae_Rotational_constant_A,r2_Rotational_constant_A,mse_Rotational_constant_B,mae_Rotational_constant_B,r2_Rotational_constant_B,mse_Rotational_constant_C,mae_Rotational_constant_C,r2_Rotational_constant_C
GCL_VicReg,12345,1,1.6195623,1.0426446,-8.328688,141.75067,9.705637,-3.999805,0.5232671,0.5359252,-19.801939,1.2299154,0.92613065,-1.3949252,1.3465811,0.9649059,-1.0997338,109187.5,274.40802,-3.4893982,0.48769653,0.5504885,0.40106943,3038408.5,1403.6361,-9.592935,3038938.0,1403.7524,-9.554587,3038441.2,1403.6451,-9.584973,3038891.0,1403.7375,-9.573389,25.139532,3.8353212,-1.1641748,128.81454,9.033673,-0.42846048,130.53789,9.095986,-0.4231632,132.10495,9.149786,-0.4184844,110.06924,8.349156,-0.45165813,10.905093,1.764984,-359.84348,3.4903893,0.62479424,-48.347435,3.1840558,0.46430662,-92.89228
GCL_VicReg,12345,2,1.706786,1.0473899,-3.1821752,137.92557,9.650565,-2.5473692,0.51566,0.53178316,-15.229852,1.1408856,0.88516515,-0.7224353,1.3475193,0.9621664,-2.0195408,104625.47,275.81738,-11.335154,0.46523422,0.53682643,0.3465845,3119116.2,1410.8993,-5.541316,3117840.2,1410.7001,-5.561112,3119186.5,1410.9058,-5.5381665,3118518.0,1410.8142,-5.55457,23.505388,3.7404454,-1.8731318,127.80976,9.062842,-0.44961476,129.54451,9.125308,-0.44335672,131.08662,9.178384,-0.43965298,109.27604,8.382814,-0.46523067,10.999262,1.7650527,-269.1534,3.6050873,0.62518376,-1834.3063,3.2624023,0.45729974,-1639.5636
GCL_VicReg,12345,3,1.688757,1.0485597,-4.198413,146.72214,9.87763,-4.706618,0.5218082,0.53107274,-51.446083,1.2043971,0.90371406,-0.9544745,1.265361,0.92668146,-1.0799834,103445.45,271.24768,-9.224523,0.43416268,0.50987405,0.36604875,3033709.0,1407.3213,-7.099355,3033671.2,1407.3098,-7.097043,3033445.8,1407.2809,-7.1058664,3033843.0,1407.3499,-7.1001577,23.845348,3.682401,-2.2405243,127.90293,8.92306,-0.6201354,129.58852,8.982586,-0.610661,131.10109,9.033659,-0.60445905,109.617355,8.260524,-0.6489584,10.913316,1.7718331,-223.1895,3.5677755,0.6156426,-390.55856,3.240449,0.45261806,-635.54706
GCL_VicReg,12345,4,1.7445939,1.0845364,-5.6368127,153.2527,10.066144,-6.5375366,0.5047166,0.5323227,-24.716164,1.1469438,0.880559,-1.0412254,1.3176963,0.93902427,-1.6546518,105543.63,274.17407,-10.326567,0.49605566,0.5476176,0.20588262,3210719.5,1439.94,-16.798382,3210625.2,1439.917,-16.80314,3210630.8,1439.9229,-16.793533,3210867.8,1439.9694,-16.799572,23.17549,3.6359355,-1.8883156,138.2568,9.388667,-1.0444982,140.15613,9.454423,-1.0341151,141.80559,9.5093355,-1.0266918,118.55253,8.69281,-1.0948735,10.842317,1.7473484,-219.34721,3.584864,0.61914337,-504.38965,3.2616363,0.45662257,-819.9902
GCL_VicReg,12345,5,1.6419469,1.0370708,-3.415053,150.31932,9.971696,-5.273652,0.50043714,0.52089304,-18.961435,1.0052772,0.8249286,-0.26078656,1.1942637,0.90240926,-0.9020128,109394.055,279.13828,-22.256575,0.4335384,0.51653266,0.36368707,3168374.5,1435.8119,-8.371093,3167645.2,1435.643,-8.390682,3168153.5,1435.7632,-8.374669,3168131.5,1435.7489,-8.384571,25.724371,3.827256,-4.156831,130.67322,9.103139,-0.7123371,132.37172,9.164653,-0.7009388,133.92697,9.217868,-0.6961745,111.985405,8.423495,-0.7486867,10.942309,1.7617303,-134.29362,3.5905676,0.6190433,-1151.6315,3.2600942,0.45749778,-1600.2296
GCL_VicReg,12345,6,1.7882278,1.0901225,-3.0560684,145.57103,9.811601,-3.2971804,0.51370937,0.52568597,-8.003007,1.3552816,0.9371087,-0.19107968,1.3908112,0.95400107,-0.7400775,105718.484,273.3859,-9.771439,0.49862364,0.5358841,0.37325823,3022451.5,1408.0636,-5.6784363,3022373.2,1408.0444,-5.678512,3022577.2,1408.0371,-5.685669,3022626.8,1408.0936,-5.679801,24.265234,3.713844,-2.0868487,133.68956,8.947079,-0.5710057,135.51482,9.008515,-0.561816,137.15392,9.061344,-0.5555365,114.26039,8.277824,-0.6039126,10.9260235,1.7610111,-205.89299,3.6008651,0.6524036,-49.251858,3.2688828,0.5050641,-49.766335
GCL_VicReg,12345,7,1.6666741,1.0606331,-6.6727443,146.36166,9.884604,-5.845403,0.50786495,0.531721,-34.711674,1.2420852,0.92594457,-1.9869334,1.302517,0.9443419,-2.482329,106041.96,275.96994,-15.789781,0.48597142,0.5516062,0.103125155,3112608.8,1419.4377,-11.222648,3112577.2,1419.4896,-11.160459,3112499.2,1419.4084,-11.227705,3112787.0,1419.5007,-11.195237,24.839626,3.805069,-3.469738,132.47566,9.242047,-1.043588,134.26172,9.305658,-1.0320914,135.863,9.360401,-1.0259547,113.27969,8.543559,-1.0681926,10.795641,1.7572728,-150.8588,3.5939128,0.6161305,-672.13116,3.2487316,0.45072392,-1968.6571
GCL_VicReg,12345,8,1.6587135,1.0465907,-6.595195,152.26157,9.991845,-4.776389,0.5306075,0.53860056,-38.7135,1.0150371,0.8336137,-0.5660961,1.201895,0.90306365,-0.7259858,111559.72,275.19348,-3.4863105,0.453479,0.51763636,0.45685253,3276847.2,1454.458,-13.626017,3276210.2,1454.3048,-13.666146,3276299.2,1454.3269,-13.659404,3276456.8,1454.352,-13.668077,25.367128,3.7723825,-1.1331776,135.808,9.1551895,-0.55163366,137.58107,9.2169075,-0.543058,139.1881,9.269293,-0.5356813,116.6413,8.483385,-0.59266686,10.913571,1.7733177,-377.26788,3.6255054,0.60999,-175.43118,3.275902,0.44778377,-408.6084
GCL_VicReg,12345,9,1.6682136,1.0314193,-3.6092036,141.44385,9.738514,-3.4204452,0.5066169,0.5262746,-11.160116,1.0973266,0.863271,-0.5591105,1.259795,0.9356415,-1.5442072,105384.695,275.45438,-9.732241,0.44937125,0.52192414,0.32055062,3108927.8,1414.9502,-6.3586206,3108561.0,1414.9083,-6.3535028,3108622.8,1414.914,-6.354581,3108888.5,1414.9639,-6.355881,23.652164,3.6311214,-2.1203444,129.51872,9.0091715,-0.6359141,131.24948,9.07065,-0.62705445,132.80428,9.123398,-0.622364,110.828,8.333732,-0.6569698,10.982302,1.7928532,-87.74155,3.5808263,0.6260853,-385.31976,3.2418656,0.45763412,-1017.77313
GCL_VicReg,12345,10,1.5711519,1.0271461,-3.65121,144.65227,9.785306,-3.9114835,0.49625245,0.52448994,-17.226166,1.1409376,0.87824315,-0.9863386,1.2890058,0.9504961,-1.7580466,108694.46,280.42383,-16.074312,0.48793888,0.55131376,0.17096348,2987204.5,1396.9014,-6.4065804,2986999.5,1396.8608,-6.403343,2987017.8,1396.8644,-6.4038,2987363.5,1396.933,-6.407404,25.67151,3.9195182,-3.273793,133.54292,9.17519,-0.8551339,135.32512,9.23785,-0.84492856,136.94301,9.292335,-0.83994937,114.17359,8.484003,-0.8760222,10.863189,1.7455256,-211.28172,3.5978372,0.6212523,-822.6311,3.2549942,0.4569167,-981.8627
